# from  https://twiki.cern.ch/twiki/bin/view/CMS/TRTable
Subdetector,FED,TR,Dee,Sector,DRing,TTs
BARREL , 0 , 1 , 0 , 0 , 1L , 2 17 9 18 10 14 6 13 5 1 
BARREL , 0 , 2 , 0 , 0 , 1R , 4 19 11 20 12 16 8 15 7 3 
BARREL , 0 , 3 , 0 , 0 , 2L , 33 25 34 26 30 22 29 21 
BARREL , 0 , 4 , 0 , 0 , 2R , 35 27 36 28 32 24 31 23 
BARREL , 0 , 5 , 0 , 0 , 3L , 49 41 50 42 46 38 45 37 
BARREL , 0 , 6 , 0 , 0 , 3R , 51 43 52 44 48 40 47 39 
BARREL , 0 , 7 , 0 , 0 , 4L , 54 62 53 61 57 65 58 66 69 
BARREL , 0 , 8 , 0 , 0 , 4R , 56 64 55 63 59 67 60 68 70 
ENDCAPM , 601 , 5 , 3 , 7 , 1R , 9 7 8 6 2 5 1 4
ENDCAPM , 601 , 6 , 3 , 7 , 1L , 14 16 21 23 22 24 15 17 69 70
ENDCAPM , 601 , 7 , 3 , 7 , 2L , 13 11 20 18 19 10 12 3
ENDCAPM , 601 , 8 , 3 , 7 , 3L , 34 28 30 32 33 31 29 27 26 25
ENDCAPM , 602 , 5 , 3 , 8 , 5R , 9 1 10 2 11 3 6 4 5
ENDCAPM , 602 , 6 , 3 , 8 , 4R , 21 8 20 7 19 13 12 14
ENDCAPM , 602 , 7 , 3 , 8 , 3R , 22 24 15 17 16 25 23 69 70
ENDCAPM , 602 , 8 , 3 , 8 , 2R , 29 27 28 26 30 18 31 32
ENDCAPM , 603 , 5 , 3 , 9 , 9R , 8 6 4 2 3 1 7 5
ENDCAPM , 603 , 6 , 3 , 9 , 8R , 16 14 12 10 11 9 15 13 33
ENDCAPM , 603 , 7 , 3 , 9 , 7R , 17 21 18 19 30 22 23 20
ENDCAPM , 603 , 8 , 3 , 9 , 6R , 24 26 25 29 27 31 28 32
ENDCAPM , 604 , 5 , 4 , 1 , 6L , 24 26 25 29 27 31 28 32
ENDCAPM , 604 , 6 , 4 , 1 , 7L , 17 21 18 19 30 22 23 20
